cellid,time,type,Layer
4569,1020.3,inh,0
4339,1020.6,inh,0
5029,1021.8,inh,0
4689,1022.0,inh,0
5269,1022.2,inh,0
4559,1022.7,inh,0
4819,1023.2,inh,0
5109,1024.2,inh,0
4679,1024.4,inh,0
4579,1025.5,inh,0
4529,1028.7,inh,0
4299,1029.5,inh,0
4869,1031.9,inh,0
4309,1032.2,inh,0
4799,1032.6,inh,0
4699,1032.7,inh,0
4739,1032.9,inh,0
4159,1034.2,inh,0
5259,1034.4,inh,0
4709,1034.5,inh,0
5169,1035.5,inh,0
4249,1035.7,inh,0
4789,1037.6,inh,0
5269,1039.5,inh,0
4589,1042.5,inh,0
4909,1042.9,inh,0
4989,1044.1,inh,0
4169,1044.2,inh,0
4649,1044.2,inh,0
4259,1044.5,inh,0
4529,1044.5,inh,0
4979,1044.6,inh,0
4669,1045.9,inh,0
4679,1050.9,inh,0
4459,1051.2,inh,0
4509,1051.6,inh,0
5029,1056.2,inh,0
5259,1056.4,inh,0
4689,1057.4,inh,0
4669,1057.9,inh,0
4989,1060.4,inh,0
4569,1062.7,inh,0
4409,1066.6,inh,0
4819,1066.6,inh,0
4249,1067.4,inh,0
5209,1067.6,inh,0
5039,1068.0,inh,0
4559,1068.6,inh,0
4319,1069.0,inh,0
4909,1069.3,inh,0
4159,1069.8,inh,0
5279,1069.8,inh,0
4199,1070.5,inh,0
4169,1070.8,inh,0
4649,1073.5,inh,0
4659,1078.4,inh,0
4679,1081.8,inh,0
4689,1082.5,inh,0
4789,1082.5,inh,0
4829,1084.1,inh,0
4309,1085.3,inh,0
5029,1089.6,inh,0
4509,1091.9,inh,0
4559,1092.4,inh,0
4689,1093.1,inh,0
4169,1093.2,inh,0
5059,1093.6,inh,0
4699,1093.7,inh,0
4799,1093.8,inh,0
4289,1094.1,inh,0
5089,1094.1,inh,0
4379,1094.8,inh,0
4569,1103.0,inh,0
4579,1105.2,inh,0
4869,1105.2,inh,0
4319,1105.3,inh,0
4649,1105.5,inh,0
4589,1106.5,inh,0
4159,1108.0,inh,0
5239,1110.7,inh,0
4679,1111.1,inh,0
4779,1114.4,inh,0
4689,1114.7,inh,0
4269,1116.8,inh,0
4169,1116.9,inh,0
4909,1117.7,inh,0
5269,1117.8,inh,0
4559,1117.9,inh,0
4279,1118.1,inh,0
4989,1118.6,inh,0
4949,1118.7,inh,0
4459,1119.0,inh,0
4759,1119.0,inh,0
5239,1123.7,inh,0
5259,1126.0,inh,0
4239,1126.8,inh,0
5229,1127.4,inh,0
5219,1127.9,inh,0
4789,1128.6,inh,0
4889,1128.8,inh,0
4679,1128.9,inh,0
4589,1129.0,inh,0
4169,1129.4,inh,0
4809,1129.5,inh,0
4249,1129.9,inh,0
4159,1130.0,inh,0
4709,1130.2,inh,0
4479,1132.0,inh,0
4719,1134.7,inh,0
4819,1137.1,inh,0
4569,1137.6,inh,0
4969,1137.6,inh,0
5029,1137.7,inh,0
4909,1137.8,inh,0
4559,1137.9,inh,0
4309,1139.7,inh,0
4169,1141.6,inh,0
4679,1141.6,inh,0
5199,1142.8,inh,0
4649,1142.9,inh,0
4179,1144.8,inh,0
4659,1144.9,inh,0
5259,1146.8,inh,0
4789,1147.4,inh,0
4669,1150.0,inh,0
4159,1152.0,inh,0
4509,1152.2,inh,0
5239,1152.7,inh,0
4259,1155.2,inh,0
4689,1155.8,inh,0
5209,1159.6,inh,0
4169,1159.9,inh,0
4909,1161.2,inh,0
4579,1161.6,inh,0
4359,1161.7,inh,0
4659,1161.7,inh,0
5009,1162.2,inh,0
4689,1165.2,inh,0
4819,1166.4,inh,0
5289,1167.2,inh,0
5169,1167.3,inh,0
4839,1168.9,inh,0
4529,1169.0,inh,0
4679,1169.6,inh,0
5259,1170.2,inh,0
4589,1170.8,inh,0
4169,1171.2,inh,0
4569,1171.5,inh,0
4279,1172.9,inh,0
5269,1174.6,inh,0
4649,1177.1,inh,0
4189,1177.4,inh,0
4699,1179.6,inh,0
4269,1179.7,inh,0
4559,1179.8,inh,0
4249,1180.5,inh,0
5029,1180.5,inh,0
4159,1180.6,inh,0
4619,1181.0,inh,0
4169,1181.1,inh,0
4689,1181.1,inh,0
4909,1181.1,inh,0
4669,1181.5,inh,0
4739,1181.5,inh,0
4319,1181.9,inh,0
4579,1186.0,inh,0
4339,1186.1,inh,0
4529,1189.0,inh,0
4909,1191.2,inh,0
4779,1191.5,inh,0
4359,1192.5,inh,0
4289,1193.4,inh,0
4379,1194.2,inh,0
5029,1194.6,inh,0
4789,1195.5,inh,0
5009,1196.7,inh,0
5259,1200.6,inh,0
5239,1202.3,inh,0
4469,1204.3,inh,0
4989,1204.5,inh,0
4159,1205.0,inh,0
4689,1205.1,inh,0
4839,1205.2,inh,0
4249,1205.3,inh,0
5219,1206.8,inh,0
4579,1207.2,inh,0
4279,1207.4,inh,0
4639,1208.1,inh,0
4379,1209.7,inh,0
5029,1213.7,inh,0
4309,1216.5,inh,0
4679,1218.8,inh,0
4519,1219.4,inh,0
5169,1219.8,inh,0
4169,1220.0,inh,0
5119,1220.4,inh,0
4359,1221.1,inh,0
4899,1222.8,inh,0
4579,1223.4,inh,0
4159,1226.8,inh,0
4249,1227.3,inh,0
5009,1227.8,inh,0
4299,1228.0,inh,0
4819,1228.0,inh,0
4979,1228.0,inh,0
4599,1228.3,inh,0
4259,1228.9,inh,0
5039,1229.1,inh,0
4909,1229.2,inh,0
5219,1230.7,inh,0
4689,1230.9,inh,0
5279,1231.6,inh,0
5029,1233.0,inh,0
4839,1238.5,inh,0
5239,1239.4,inh,0
4529,1239.5,inh,0
4649,1239.5,inh,0
4669,1239.7,inh,0
4379,1240.3,inh,0
4909,1240.8,inh,0
4679,1241.5,inh,0
5029,1241.6,inh,0
4169,1242.0,inh,0
4469,1242.1,inh,0
4239,1242.3,inh,0
4519,1245.5,inh,0
5259,1250.3,inh,0
4409,1251.3,inh,0
4889,1251.4,inh,0
5279,1251.9,inh,0
4229,1252.1,inh,0
4159,1252.3,inh,0
4169,1253.1,inh,0
4589,1253.3,inh,0
4679,1253.7,inh,0
4689,1254.1,inh,0
4649,1254.3,inh,0
4999,1254.3,inh,0
4789,1255.1,inh,0
5199,1255.1,inh,0
5219,1255.5,inh,0
4639,1257.7,inh,0
4529,1258.6,inh,0
4319,1264.0,inh,0
4909,1264.5,inh,0
4669,1266.1,inh,0
4249,1266.9,inh,0
4569,1267.1,inh,0
4659,1267.1,inh,0
5059,1272.0,inh,0
4989,1275.0,inh,0
4689,1276.3,inh,0
5259,1277.3,inh,0
4589,1277.7,inh,0
5039,1278.4,inh,0
5169,1279.6,inh,0
4159,1279.7,inh,0
4299,1283.5,inh,0
4679,1286.2,inh,0
4249,1287.7,inh,0
4529,1287.8,inh,0
5279,1288.8,inh,0
4309,1290.0,inh,0
4279,1290.1,inh,0
5209,1291.2,inh,0
4839,1291.8,inh,0
4169,1294.4,inh,0
4249,1297.8,inh,0
4379,1298.5,inh,0
4679,1298.5,inh,0
4699,1298.8,inh,0
4789,1301.6,inh,0
4389,1301.8,inh,0
5259,1303.3,inh,0
4279,1304.0,inh,0
4689,1305.4,inh,0
4579,1307.7,inh,0
4679,1309.1,inh,0
4179,1310.8,inh,0
4779,1311.4,inh,0
4259,1311.5,inh,0
4649,1312.5,inh,0
4589,1312.7,inh,0
5279,1313.2,inh,0
4789,1313.3,inh,0
5169,1313.6,inh,0
4759,1313.8,inh,0
4819,1314.3,inh,0
4919,1314.4,inh,0
4669,1315.6,inh,0
4689,1317.5,inh,0
5259,1320.6,inh,0
5029,1320.7,inh,0
4859,1321.3,inh,0
4599,1322.0,inh,0
4529,1323.8,inh,0
4159,1324.7,inh,0
4909,1325.0,inh,0
4679,1325.3,inh,0
4659,1325.6,inh,0
5269,1326.9,inh,0
4359,1327.7,inh,0
4689,1328.4,inh,0
5259,1335.7,inh,0
4679,1335.9,inh,0
4989,1336.3,inh,0
4189,1336.8,inh,0
4799,1336.9,inh,0
5069,1337.0,inh,0
4249,1337.3,inh,0
4739,1337.4,inh,0
4509,1337.5,inh,0
5029,1337.5,inh,0
4879,1337.7,inh,0
4789,1337.8,inh,0
5239,1338.0,inh,0
4579,1339.2,inh,0
4839,1342.1,inh,0
4269,1342.3,inh,0
4169,1346.6,inh,0
